salon,distancia,up,down
Donatello 7,189,87.75130925608165,205.87584420425213
Donatello 7,189,68.56909738982884,124.98671779564273
Donatello 7,189,30.802702781457818,160.4671219347018
Donatello 7,189,15.083909928037704,15.008538086418476
Donatello 7,189,69.4396158186988,193.28362479786784
Donatello 7,189,14.572593137115046,74.80995501055749
Donatello 7,189,86.15349540580098,207.42487512015833
Donatello 7,189,12.245357508847912,17.311244805276143
Donatello 7,189,15.254177713230565,14.452960849530234
Donatello 7,189,15.141891885490931,15.992555828812408
Donatello 7,189,14.936457495226446,19.96259317813036
Donatello 7,189,32.064632011387495,176.13331962001203
Donatello 7,189,32.073720144291634,125.28461629542193
Donatello 7,189,82.64997250807787,149.22799676511764
Donatello 7,189,13.720931374369794,46.43295058117299
Donatello 7,189,92.64043987360772,96.78430964950874
Donatello 7,189,31.87719780409849,49.04327525164619
Donatello 7,189,81.44589671029513,86.21189859747433
Donatello 7,189,14.557624671430164,63.04224374578323
Donatello 7,189,14.361382540057514,72.42513797919086
