salon,distancia,up,down
iOS Lab,189,14.638140949845086,50.80023579935299
iOS Lab,189,3.6242281393435944,44.3489614497592
iOS Lab,189,12.226306880918152,25.86083672560225
iOS Lab,189,16.580713321214102,45.09809420225547
iOS Lab,189,10.076095439646789,24.133814656240958
iOS Lab,189,12.02861681399844,19.85201866545511
iOS Lab,189,16.954124260139775,30.68254124977586
iOS Lab,189,10.202124409413155,45.223319298280344
iOS Lab,189,7.92616418989555,28.46575382542136
iOS Lab,189,10.181929957704547,27.760764944351212
