salon,distancia,up,down
CDC A,189,88.18284477796276,77.48120158295579
CDC A,189,30.92721219911069,145.04552232726007
CDC A,189,77.08051187939675,182.98301317849842
CDC A,189,14.936699504304313,36.38778901350316
CDC A,189,87.36271272364675,168.48918921695397
CDC A,189,43.80512741849952,43.13339162886356
CDC A,189,80.41714488759627,28.46431364061453
CDC A,189,14.806198492848633,26.622509811654346
CDC A,189,13.793685745784627,92.60605410742704
CDC A,189,76.77123929238091,173.28380441913967
CDC A,189,14.185181537643315,84.72340830666305
CDC A,189,32.864652430850626,160.77759226827635
CDC A,189,31.421627693249757,130.0150667174404
CDC E,189,47.58994677679399,143.56039976500716
CDC E,189,49.85525550214011,121.9566558237839
CDC E,189,13.419285873821758,31.572812059658233
CDC E,189,50.037497081264235,25.664571028972517
CDC E,189,50.2510764952907,18.759647191684113
CDC E,189,28.81347506954829,121.29683579634127
CDC E,189,51.72062580097885,116.45261877512594
CDC E,189,51.60061084986151,136.12339671805785
CDC E,189,42.70641387498966,97.85743711342617
CDC E,189,43.51276012558994,163.21293990665026
CDC E,189,47.66217268375755,171.58335696240437
CDC E,189,14.360267427322754,64.71971749758808
CDC E,189,14.990042290357373,62.95235641894204
CDC E,189,14.550600654090914,71.73792899243941
CDC E,189,78.43193157860239,194.71228123012583
CDC E,189,29.309362133127994,161.57533069454948
CDC E,189,14.852961465498295,102.22237296079825
CDC E,189,88.52059401159566,82.72571235673652
CDC E,189,15.028473824434938,65.5376628789024
CDC E,189,95.83282678971462,61.829976558279675
CDC Sala General,189,82.96486351194716,108.54917178984742
CDC Sala General,189,12.002943320278343,20.634789941550313
CDC Sala General,189,30.470088327997022,72.2311216320237
CDC Sala General,189,13.303843476916724,40.005142012714884
CDC Sala General,189,23.99194462552091,77.73493592383994
CDC Sala General,189,47.13545690940382,111.66731599382126
CDC Sala General,189,25.293544480295623,76.5324169283693
CDC Sala General,189,120.52124375321684,192.770321777138
CDC Sala General,189,129.87662943408966,164.43651706526956
CDC Sala General,189,108.56691505099882,197.3996007658961
CDC Sala General,189,121.20273203477996,37.10261774467089
CDC Sala General,189,15.32382233215299,86.30207713947011
CDC Sala General,189,100.3316795547424,198.68959187558886
CDC Sala General,189,101.878917872119,171.09075589259663
CDC Sala General,189,97.73959590352563,166.86553932552633
CDC Sala General,189,77.1923485540144,141.5584605301583
CDC Sala General,189,11.903838603546538,18.861116656659398
CDC Sala General,189,28.15485961415705,46.10499983647126
CDC Sala General,189,10.982016428515303,58.13639147452242
CDC Sala General,189,34.44480477905923,42.18466971339173
Donatello 7,189,87.75130925608165,205.87584420425213
Donatello 7,189,68.56909738982884,124.98671779564273
Donatello 7,189,30.802702781457818,160.4671219347018
Donatello 7,189,15.083909928037704,15.008538086418476
Donatello 7,189,69.4396158186988,193.28362479786784
Donatello 7,189,14.572593137115046,74.80995501055749
Donatello 7,189,86.15349540580098,207.42487512015833
Donatello 7,189,12.245357508847912,17.311244805276143
Donatello 7,189,15.254177713230565,14.452960849530234
Donatello 7,189,15.141891885490931,15.992555828812408
Donatello 7,189,14.936457495226446,19.96259317813036
Donatello 7,189,32.064632011387495,176.13331962001203
Donatello 7,189,32.073720144291634,125.28461629542193
Donatello 7,189,82.64997250807787,149.22799676511764
Donatello 7,189,13.720931374369794,46.43295058117299
Donatello 7,189,92.64043987360772,96.78430964950874
Donatello 7,189,31.87719780409849,49.04327525164619
Donatello 7,189,81.44589671029513,86.21189859747433
Donatello 7,189,14.557624671430164,63.04224374578323
Donatello 7,189,14.361382540057514,72.42513797919086
INVICO,189,15.916696256518172,13.956026667998373
INVICO,189,115.03943120938025,107.32997518268057
INVICO,189,14.426927738002048,77.11164897026414
INVICO,189,37.77794350341402,127.80932688510269
INVICO,189,118.88977502717036,128.35089959843617
INVICO,189,38.315652493238034,158.0485713004029
INVICO,189,107.81194391649917,141.3373569129556
INVICO,189,114.18518622034402,150.82072062108335
INVICO,189,114.06812857694905,190.81796060631856
INVICO,189,124.22294737899458,170.1890471071947
INVICO,189,16.51414266678416,15.686156516353604
INVICO,189,14.659892135021177,21.261663891356893
INVICO,189,16.160472252219677,19.591825452185713
INVICO,189,99.72002035924555,188.74837144420928
INVICO,189,16.546694177384634,72.43516249650189
INVICO,189,37.06520940606745,84.78544323035733
INVICO,189,114.02702407083608,194.63072046925365
INVICO,189,38.465393214494476,102.52125287356874
INVICO,189,16.53736988881033,33.755446159555035
INVICO,189,39.34831393279764,135.64723120168338
salon,distancia,up,down
iOS Lab,189,12.645463380728119,10.767310577795827
iOS Lab,189,10.316566735483573,43.55230266763323
iOS Lab,189,8.600624262605901,18.281698698878127
iOS Lab,189,21.04568512514001,28.202622546138205
iOS Lab,189,12.499725464176882,10.09079970825552
iOS Lab,189,41.63820657195415,104.58154551657603
iOS Lab,189,12.001227769983556,12.618327375524938
iOS Lab,189,13.464182582023533,22.06844984864202
iOS Lab,189,40.41768142945568,83.82893885057797
iOS Lab,189,12.967302230460106,32.340414832161954
iOS Lab,189,13.161962652553806,14.410927868879346
iOS Lab,189,39.007189484571384,110.05755687266665
iOS Lab,189,54.622271751384304,123.05682725996755
iOS Lab,189,51.585370030434355,90.18830053230445
iOS Lab,189,5.48677889090022,19.45946691691917
iOS Lab,189,12.49205210480132,50.710880700169945
iOS Lab,189,9.456207632257716,48.64502835861774
iOS Lab,189,12.250271757277922,19.032180892604867
iOS Lab,189,11.11440466299243,13.824441671598386
iOS Lab,189,33.310134705538026,32.093406523720304
Lab AnimaciÃ³n Digital,189,19.169240009332295,88.84027704508122
Lab AnimaciÃ³n Digital,189,8.121811164461034,27.234219645270258
Lab AnimaciÃ³n Digital,189,14.847143464622802,29.385943509753265
Lab AnimaciÃ³n Digital,189,12.9839036762672,21.894339488535035
Lab AnimaciÃ³n Digital,189,11.840721756367428,71.60885071820458
Lab AnimaciÃ³n Digital,189,14.193522976441772,65.52279565860358
Lab AnimaciÃ³n Digital,189,14.36687280609813,19.84497810580172
Lab AnimaciÃ³n Digital,189,14.485417535364698,53.38478298587538
Lab AnimaciÃ³n Digital,189,10.085372914092998,5.09700506924049
Lab AnimaciÃ³n Digital,189,27.159725628842914,52.00022180949523
Lab AnimaciÃ³n Digital,189,54.3124651439541,120.37804368664138
Lab AnimaciÃ³n Digital,189,63.07206727150625,97.53743154184218
Lab AnimaciÃ³n Digital,189,57.33650068947683,96.12972690109204
Lab AnimaciÃ³n Digital,189,46.208393220543044,121.46313283104269
Lab AnimaciÃ³n Digital,189,16.153610277898554,132.96089889544035
Lab AnimaciÃ³n Digital,189,13.416415400794817,88.2798246739463
Lab AnimaciÃ³n Digital,189,92.61494551509564,81.95744837911911
Lab AnimaciÃ³n Digital,189,14.909906634195906,65.43279787125557
Lab AnimaciÃ³n Digital,189,12.745021691487619,15.553723790178145
Lab AnimaciÃ³n Digital,189,15.217658482689334,45.24085289465236
Lab Com 1,189,14.059072898597249,38.22373235629248
Lab Com 1,189,76.64695414804636,147.35379781454165
Lab Com 1,189,13.29572254247106,13.44963918986894
Lab Com 1,189,13.152146382753566,22.667487412286153
Lab Com 1,189,106.12087972192727,171.7771882347155
Lab Com 1,189,110.83493519738192,152.28191533912488
Lab Com 1,189,13.957720431340245,45.5758503096655
Lab Com 1,189,107.84822128181696,147.86719185689128
Lab Com 1,189,109.83286226712818,147.73539474599013
Lab Com 1,189,37.010836379748596,67.52333744531637
Lab Com 1,189,14.230608668993916,6.846123160179088
Lab Com 1,189,111.67584017994973,170.5726570808775
Lab Com 1,189,115.86601841911589,146.1197061086518
Lab Com 1,189,15.848857482549725,49.236678708273594
Lab Com 1,189,16.24686412983247,53.80847217153185
Lab Com 1,189,13.176799738744792,22.094632955420547
Lab Com 1,189,109.18960444804941,156.45068016344996
Lab Com 1,189,15.485606279241573,42.36803190822459
Lab Com 1,189,116.39054965340506,118.33941121188144
Lab Com 1,189,13.703320925116472,13.04013113187541
Lab Com 2,189,107.89937936685898,137.27840532644652
Lab Com 2,189,110.88849500844206,167.1874524283054
Lab Com 2,189,16.002813249455222,47.57643529597666
Lab Com 2,189,110.39646360541145,162.45453921059297
Lab Com 2,189,16.110265183801584,46.56154180103779
Lab Com 2,189,16.07363225340703,38.35049197703567
Lab Com 2,189,109.69095185855078,128.31121595264253
Lab Com 2,189,103.19539629684483,128.74801915604104
Lab Com 2,189,15.36668911035318,36.28824061474661
Lab Com 2,189,15.586074470160243,40.05208631416846
Lab Com 2,189,15.052499056972131,22.62095810682241
Lab Com 2,189,113.69670042346543,189.4401399431331
Lab Com 2,189,13.236126011529489,19.149993971882285
Lab Com 2,189,35.639251087906544,138.3532046469281
Lab Com 2,189,13.811227450053531,77.93703778064814
Lab Com 2,189,113.39285197400352,184.78520343515615
Lab Com 2,189,117.8757731231446,175.48770049261535
Lab Com 2,189,108.11568111372856,182.24476567325655
Lab Com 2,189,16.288635141661484,20.747634592699654
Lab Com 2,189,109.41683215580512,169.86380458466203
NR01,189,14.719530773885717,69.28876838840375
NR01,189,76.12709882382367,202.08602173384534
NR01,189,81.34225485563377,191.57733384545853
NR01,189,82.2210633973528,191.19015130815424
NR01,189,13.638489508121241,72.18326666922648
NR01,189,93.14131382041185,36.47839432727918
NR01,189,112.78211977098219,51.47622533708949
NR01,189,86.03645775868067,124.20550295190735
NR01,189,44.275581464598986,105.0063429049465
NR01,189,77.66778762670123,191.69694447424442
NR01,189,32.47077778815447,165.60991210513325
NR01,189,57.062179862350796,146.38120323693101
NR01,189,27.411854778818157,165.7785460223044
NR01,189,11.62449882758296,39.136948558413835
NR01,189,13.22595652765047,19.618475757971986
NR01,189,69.71761102517867,78.19112250748387
NR01,189,14.2586890919108,74.7265310991784
NR01,189,13.82057419633691,72.34889370117051
NR01,189,70.17256230803807,75.69681240231508
NR01,189,15.29129839820427,78.54286180589517
R13,189,14.387826100870544,77.5624442249369
R13,189,99.47355924263903,193.27676164616008
R13,189,83.12681943090374,156.17569954933435
R13,189,86.26576826080606,160.04582722937147
R13,189,15.10648121487608,37.750354438869365
R13,189,85.08238893765032,185.05768336563747
R13,189,14.952813872278872,51.45804649558899
R13,189,91.27982343683544,145.67318054987496
R13,189,98.93383210330374,138.38546895306197
R13,189,14.916679762826554,96.27395432835426
R13,189,103.06794881579653,61.17834346165429
R13,189,15.829965082307488,83.23755753394605
R13,189,14.90052685859892,64.44488342747465
R13,189,13.948200693546024,60.93810616766384
R13,189,63.0373000662837,91.64987448889843
R13,189,14.971686831824771,23.224865562718424
R13,189,67.03307662471975,189.277626655786
R13,189,66.27145672078159,185.12961740763566
R13,189,44.57640798948892,198.74514979230395
R13,189,15.108477095739042,73.71241080156068
SAUP,189,25.533268083758948,69.34917073602418
SAUP,189,41.500485981539654,80.56901579540872
SAUP,189,50.78739825342085,86.60447320814056
SAUP,189,12.687276255949133,29.78560666475679
SAUP,189,46.643005680059574,39.646932251399846
SAUP,189,9.007281538388792,21.377155845910842
SAUP,189,8.052759166062497,4.672366682182311
SAUP,189,8.241005786367154,19.980157671302933
SAUP,189,1.8237468058296098,6.063996722800527
SAUP,189,11.037967325214089,8.667007168585101
SAUP,189,5.333086438275054,10.98684148814733
SAUP,189,15.108889974191309,2.699374889799248
SAUP,189,10.084528881265452,20.18143995312901
SAUP,189,59.27702482773981,80.28868932790628
SAUP,189,12.539571401018284,10.60617004171473
SAUP,189,2.4071445168329406,1.3571234786802941
SAUP,189,25.608787780395804,50.62510517209939
SAUP,189,12.284671415507425,18.66793157407339
SAUP,189,14.867763357645634,46.704942390758106
SAUP,189,12.91750898489334,34.196279079297135
