salon,distancia,up,down
iOS Lab,189,13.233460663635059,1.6651110875903201
iOS Lab,189,1.258292768888985,9.59077324260846
iOS Lab,189,3.6731810420340265,40.59700072829795
iOS Lab,189,8.9034424970813,53.938206021495354
iOS Lab,189,7.854124176502547,34.13863903551581
iOS Lab,189,9.36074419385743,38.74466896430327
iOS Lab,189,12.75699107573625,36.67624730609902
iOS Lab,189,18.51576863057689,65.90786970316451
iOS Lab,189,15.589266445891178,43.30760241589523
iOS Lab,189,13.122114176439641,49.57226486896363
